# Frequency list

# Corpus: decow16b
# Query:  "[Ee]in" "[Bb]i(ß|ss)chen" "zu" [tag="ADJ.*"] 21156

# Frequency limit: 0


Lemma	Frequency	
eine bisschen zu rosig	3	
eine bisschen zu rockig	3	
eine bisschen zu robust	3	
eine bisschen zu restriktiv	3	
eine bisschen zu putzig	3	
eine bisschen zu provokativ	3	
eine bisschen zu provokant	3	
eine bisschen zu polemisch	3	
eine bisschen zu plattig	3	
eine bisschen zu pixelig	3	
eine bisschen zu perfektionistisch	3	
eine bisschen zu peinlich	3	
eine bisschen zu overdressed	3	
eine bisschen zu nichtssagend	3	
eine bisschen zu mühsam	3	
eine bisschen zu märchenhaft	3	
eine bisschen zu mild	3	
eine bisschen zu melodramatisch	3	
eine bisschen zu melancholisch	3	
eine bisschen zu mau	3	
eine bisschen zu lächerlich	3	
eine bisschen zu leichtgläubig	3	
eine bisschen zu leblos	3	
eine bisschen zu lebendig	3	
eine bisschen zu kühn	3	
eine bisschen zu kunstvoll	3	
eine bisschen zu kryptisch	3	
eine bisschen zu konfus	3	
eine bisschen zu isoliert	3	
eine bisschen zu intelligent	3	
eine bisschen zu inkonsequent	3	
eine bisschen zu impulsiv	3	
eine bisschen zu idyllisch	3	
eine bisschen zu hysterisch	3	
eine bisschen zu holprig	3	
eine bisschen zu hip	3	
eine bisschen zu hierarchisch	3	
eine bisschen zu heroisch	3	
eine bisschen zu herkömmlich	3	
eine bisschen zu heiter	3	
eine bisschen zu gutgläubig	3	
eine bisschen zu gruslig	3	
eine bisschen zu griffig	3	
eine bisschen zu goldig	3	
eine bisschen zu glücklich	3	
eine bisschen zu glitzerig	3	
eine bisschen zu gleichförmig	3	
eine bisschen zu giftig	3	
eine bisschen zu geil	3	
eine bisschen zu förmlich	3	
eine bisschen zu fundamentalistisch	3	
eine bisschen zu fleißig	3	
eine bisschen zu fixiert	3	
eine bisschen zu fix	3	
eine bisschen zu filigran	3	
eine bisschen zu fertig	3	
eine bisschen zu fern	3	
eine bisschen zu feminin	3	
eine bisschen zu fatalistisch	3	
eine bisschen zu fantastisch	3	
eine bisschen zu fade	3	
eine bisschen zu ernsthaft	3	
eine bisschen zu engagiert	3	
eine bisschen zu egoistisch	3	
eine bisschen zu edel	3	
eine bisschen zu dürr	3	
eine bisschen zu dumpf	3	
eine bisschen zu dreckig	3	
eine bisschen zu dickflüssig	3	
eine bisschen zu demonstrativ	3	
eine bisschen zu deftig	3	
eine bisschen zu clever	3	
eine bisschen zu bitter	3	
eine bisschen zu biblisch	3	
eine bisschen zu belanglos	3	
eine bisschen zu begriffsstutzig	3	
eine bisschen zu bassig	3	
eine bisschen zu außergewöhnlich	3	
eine bisschen zu ausfallend	3	
eine bisschen zu aufgeregt	3	
eine bisschen zu anonym	3	
eine bisschen zu angestrengt	3	
eine bisschen zu angenehm	3	
eine bisschen zu altbacken	3	
eine bisschen zu akademisch	3	
eine Bißchen zu weit	3	
eine Bisschen zu überzeugt	3	
eine Bisschen zu schwach	3	
eine Bisschen zu schnell	3	
eine Bisschen zu klein	3	
ein bisschen zu überstürzt	3	
ein bisschen zu ängstlich	3	
ein bisschen zu zurückhaltend	3	
ein bisschen zu willkürlich	3	
ein bisschen zu verschachtelt	3	
ein bisschen zu verkrampft	3	
ein bisschen zu vage	3	
ein bisschen zu trist	3	
ein bisschen zu toll	3	
ein bisschen zu theatralisch	3	
ein bisschen zu spitz	3	
ein bisschen zu soft	3	
ein bisschen zu seicht	3	
ein bisschen zu schlicht	3	
ein bisschen zu rot	3	
ein bisschen zu romantisch	3	
ein bisschen zu pessimistisch	3	
ein bisschen zu naheliegend	3	
ein bisschen zu märchenhaft	3	
ein bisschen zu mächtig	3	
ein bisschen zu mild	3	
ein bisschen zu lahm	3	
ein bisschen zu grün	3	
ein bisschen zu grobkörnig	3	
ein bisschen zu grell	3	
ein bisschen zu geizig	3	
ein bisschen zu frech	3	
